"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","battery","battery_title"
"cc1_intense_logit","Increase debt","vote_PCC_bin",2035,0.013,-0.03,0.056,0.55,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","vote_PLC_bin",2035,0.026,-0.003,0.054,0.083,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","age18_34_bin",2036,-0.147,-0.196,-0.098,0,"***","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","age55plus_bin",2036,0.045,-0.005,0.096,0.08,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","alberta_bin",2036,0.038,-0.016,0.093,0.165,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","children_bin",2036,-0.062,-0.103,-0.021,0.003,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","employ_fulltime_bin",2036,-0.018,-0.062,0.026,0.416,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","ideo_define_QC_first_bin",2036,-0.059,-0.129,0.01,0.095,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","ideo_right_num",2036,0.274,0.175,0.373,0,"***","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","ideo_vote_fed_left",2036,-0.034,-0.141,0.072,0.524,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","ideo_vote_prov_left",2036,-0.042,-0.1,0.016,0.157,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","incomeHigh_bin",2036,0.08,0.027,0.134,0.003,"**","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","quebec_bin",2036,0.065,0.003,0.127,0.041,"*","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","region_eastcoast_bin",2036,0.027,-0.028,0.083,0.336,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","ses_male_bin",2036,0.018,-0.021,0.057,0.361,"","No clear effect","cc1","Increase childcare spending, how to fund it"
