"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","model"
"uc_intense_logit","Home care: narrow beneficiaries (intense)","ideo_right_num",2034,-0.054,-0.162,0.054,0.327,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: narrow beneficiaries (intense)","ideo_vote_fed_left",2034,0.047,-0.059,0.154,0.382,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: narrow beneficiaries (intense)","ideo_vote_prov_left",2034,0.043,-0.018,0.103,0.167,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: narrow beneficiaries (intense)","incomeHigh_bin",2034,-0.002,-0.058,0.053,0.93,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: narrow beneficiaries (intense)","quebec_bin",2034,0.009,-0.058,0.075,0.799,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: narrow beneficiaries (intense)","region_eastcoast_bin",2034,0.015,-0.043,0.074,0.61,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: narrow beneficiaries (intense)","ses_male_bin",2034,0.029,-0.012,0.071,0.168,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: narrow beneficiaries (intense)","trust_inst_fed_bin",2034,-0.09,-0.142,-0.039,0.001,"**","Negative","Logit AME"
"uc_intense_logit","Home care: narrow beneficiaries (intense)","trust_inst_prov_bin",2034,0.009,-0.045,0.064,0.737,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: narrow beneficiaries (intense)","univ_educ_bin",2034,-0.022,-0.063,0.02,0.312,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: narrow beneficiaries (intense)","vote_PCC_bin",2034,0.013,-0.05,0.075,0.691,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: narrow beneficiaries (intense)","vote_PLC_bin",2034,-0.004,-0.059,0.052,0.899,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","age18_34_bin",2034,-0.041,-0.081,-0.001,0.044,"*","Negative","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","age55plus_bin",2034,-0.017,-0.058,0.024,0.41,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","alberta_bin",2034,-0.009,-0.052,0.033,0.667,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","children_bin",2034,-0.007,-0.041,0.026,0.671,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","employ_fulltime_bin",2034,0.01,-0.027,0.047,0.594,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","ideo_define_QC_first_bin",2034,-0.042,-0.105,0.021,0.188,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","ideo_right_num",2034,0.037,-0.043,0.116,0.366,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","ideo_vote_fed_left",2034,0.002,-0.081,0.085,0.963,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","ideo_vote_prov_left",2034,-0.035,-0.084,0.013,0.155,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","incomeHigh_bin",2034,0.079,0.031,0.128,0.001,"**","Positive","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","quebec_bin",2034,-0.027,-0.075,0.021,0.268,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","region_eastcoast_bin",2034,0.035,-0.012,0.081,0.142,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","ses_male_bin",2034,-0.025,-0.057,0.008,0.135,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","trust_inst_fed_bin",2034,-0.04,-0.082,0.002,0.064,".","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","trust_inst_prov_bin",2034,-0.018,-0.061,0.025,0.406,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","univ_educ_bin",2034,-0.016,-0.049,0.018,0.361,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","vote_PCC_bin",2034,0.062,0.011,0.112,0.016,"*","Positive","Logit AME"
"uc_intense_logit","Childcare: broad beneficiaries (intense)","vote_PLC_bin",2034,0.004,-0.043,0.051,0.862,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","age18_34_bin",2032,-0.002,-0.043,0.04,0.927,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","age55plus_bin",2032,0.042,0.006,0.078,0.022,"*","Positive","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","alberta_bin",2032,0.017,-0.023,0.057,0.403,"","No clear effect","Logit AME"
