"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","model"
"intense_logit","Childcare: broad beneficiaries (intense)","employ_fulltime_bin",2034,0.01,-0.027,0.047,0.594,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","ideo_define_QC_first_bin",2034,-0.042,-0.105,0.021,0.188,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","ideo_right_num",2034,0.037,-0.043,0.116,0.366,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","ideo_vote_fed_left",2034,0.002,-0.081,0.085,0.963,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","ideo_vote_prov_left",2034,-0.035,-0.084,0.013,0.155,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","incomeHigh_bin",2034,0.079,0.031,0.128,0.001,"**","Positive","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","quebec_bin",2034,-0.027,-0.075,0.021,0.268,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","region_eastcoast_bin",2034,0.035,-0.012,0.081,0.142,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","ses_male_bin",2034,-0.025,-0.057,0.008,0.135,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","trust_inst_fed_bin",2034,-0.04,-0.082,0.002,0.064,".","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","trust_inst_prov_bin",2034,-0.018,-0.061,0.025,0.406,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","univ_educ_bin",2034,-0.016,-0.049,0.018,0.361,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","vote_PCC_bin",2034,0.062,0.011,0.112,0.016,"*","Positive","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","vote_PLC_bin",2034,0.004,-0.043,0.051,0.862,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","age18_34_bin",2034,-0.046,-0.096,0.004,0.068,".","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","age55plus_bin",2034,0.06,0.012,0.108,0.014,"*","Positive","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","alberta_bin",2034,-0.002,-0.051,0.047,0.927,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","children_bin",2034,-0.022,-0.06,0.016,0.259,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","employ_fulltime_bin",2034,-0.05,-0.091,-0.009,0.016,"*","Negative","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","ideo_define_QC_first_bin",2034,0.051,-0.029,0.13,0.21,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","ideo_right_num",2034,-0.109,-0.2,-0.019,0.018,"*","Negative","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","ideo_vote_fed_left",2034,0.096,0.004,0.188,0.041,"*","Positive","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","ideo_vote_prov_left",2034,0.053,0.001,0.105,0.046,"*","Positive","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","incomeHigh_bin",2034,-0.004,-0.053,0.045,0.877,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","quebec_bin",2034,-0.002,-0.059,0.055,0.934,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","region_eastcoast_bin",2034,-0.02,-0.068,0.029,0.423,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","ses_male_bin",2034,-0.003,-0.039,0.034,0.882,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","trust_inst_fed_bin",2034,-0.036,-0.082,0.01,0.122,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","trust_inst_prov_bin",2034,0.011,-0.037,0.06,0.651,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","univ_educ_bin",2034,-0.002,-0.038,0.034,0.922,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","vote_PCC_bin",2034,0.03,-0.029,0.089,0.32,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, home care (intense)","vote_PLC_bin",2034,-0.009,-0.055,0.038,0.711,"","No clear effect","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","age18_34_bin",2036,-0.147,-0.196,-0.098,0,"***","Negative","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","age55plus_bin",2036,0.045,-0.005,0.096,0.08,".","No clear effect","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","alberta_bin",2036,0.038,-0.016,0.093,0.165,"","No clear effect","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","children_bin",2036,-0.062,-0.103,-0.021,0.003,"**","Negative","Logit AME"
