"question","dv","term","estimate","conf.low","conf.high","p.value","sig","direction","model"
"prio_pref_lpm","Subsidized child care","quebec_bin",0.002,-0.067,0.071,0.947,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","region_eastcoast_bin",-0.025,-0.068,0.017,0.238,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","ses_citizenYes_bin",-0.018,-0.063,0.026,0.427,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","ses_french_bin",-0.027,-0.09,0.036,0.402,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","ses_male_bin",0.023,-0.007,0.053,0.129,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","univ_educ_bin",-0.018,-0.049,0.012,0.239,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","vote_PCC_bin",-0.045,-0.091,0.001,0.053,".","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","vote_PLC_bin",-0.051,-0.091,-0.01,0.014,"*","Negative","LPM"
"prio_pref_lpm","Support businesses and economic growth","age18_34_bin",0.029,-0.025,0.084,0.293,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","age55plus_bin",-0.024,-0.074,0.025,0.337,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","alberta_bin",-0.02,-0.075,0.036,0.486,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","children_bin",0.009,-0.033,0.051,0.672,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","employ_fulltime_bin",0.058,0.014,0.101,0.009,"**","Positive","LPM"
"prio_pref_lpm","Support businesses and economic growth","ideo_define_QC_first_bin",-0.01,-0.074,0.054,0.751,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","ideo_right_num",0.168,0.074,0.262,0,"***","Positive","LPM"
"prio_pref_lpm","Support businesses and economic growth","incomeHigh_bin",0.011,-0.043,0.064,0.692,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","quebec_bin",-0.04,-0.124,0.045,0.354,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","region_eastcoast_bin",-0.047,-0.1,0.006,0.085,".","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","ses_citizenYes_bin",0.009,-0.046,0.064,0.744,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","ses_french_bin",-0.092,-0.167,-0.017,0.016,"*","Negative","LPM"
"prio_pref_lpm","Support businesses and economic growth","ses_male_bin",0.089,0.052,0.126,0,"***","Positive","LPM"
"prio_pref_lpm","Support businesses and economic growth","univ_educ_bin",0.013,-0.025,0.05,0.516,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","vote_PCC_bin",0.003,-0.051,0.057,0.908,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","vote_PLC_bin",0.005,-0.041,0.051,0.825,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","age18_34_bin",0.041,-0.011,0.094,0.123,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","age55plus_bin",-0.042,-0.086,0.003,0.066,".","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","alberta_bin",-0.043,-0.09,0.005,0.079,".","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","children_bin",-0.047,-0.085,-0.009,0.015,"*","Negative","LPM"
"prio_pref_lpm","Fight against climate change","employ_fulltime_bin",0.037,-0.001,0.075,0.056,".","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","ideo_define_QC_first_bin",0.043,-0.035,0.121,0.28,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","ideo_right_num",-0.147,-0.237,-0.056,0.001,"**","Negative","LPM"
"prio_pref_lpm","Fight against climate change","incomeHigh_bin",-0.012,-0.059,0.034,0.603,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","quebec_bin",-0.054,-0.132,0.023,0.171,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","region_eastcoast_bin",-0.058,-0.105,-0.011,0.016,"*","Negative","LPM"
"prio_pref_lpm","Fight against climate change","ses_citizenYes_bin",-0.013,-0.064,0.038,0.612,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","ses_french_bin",0.044,-0.031,0.118,0.249,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","ses_male_bin",0.055,0.021,0.089,0.001,"**","Positive","LPM"
"prio_pref_lpm","Fight against climate change","univ_educ_bin",0.052,0.017,0.086,0.003,"**","Positive","LPM"
"prio_pref_lpm","Fight against climate change","vote_PCC_bin",-0.124,-0.171,-0.076,0,"***","Negative","LPM"
"prio_pref_lpm","Fight against climate change","vote_PLC_bin",-0.046,-0.093,0.002,0.059,".","No clear effect","LPM"
